,year,config0,config1,config2,config3,config4,config5,config6,config7,config8,config9,config10,config11
0,1997,40,0,0,0,0,0,0,0,0,0,0,0
1,1998,40,0,0,0,0,0,0,0,0,0,0,0
2,1999,40,0,0,0,0,0,0,0,0,0,0,0
3,2000,40,0,0,0,0,0,0,0,0,0,0,0
4,2001,40,0,0,0,0,0,0,0,0,0,0,0
5,2002,40,0,0,0,0,0,0,0,0,0,0,0
6,2003,40,0,0,0,0,0,0,0,0,0,0,0
7,2004,40,0,0,0,0,0,0,0,0,0,0,0
8,2005,40,0,0,0,0,0,0,0,0,0,0,0
9,2006,40,0,0,0,0,0,0,0,0,0,0,0
10,2007,40,0,0,0,0,0,0,0,0,0,0,0
11,2008,40,0,0,0,0,0,0,0,0,0,0,0
12,2009,40,0,0,0,0,0,0,0,0,0,0,0
13,2010,40,0,0,0,0,0,0,0,0,0,0,0
14,2011,40,0,0,0,0,0,0,0,0,0,0,0
15,2012,40,0,0,0,0,0,0,0,0,0,0,0
16,2013,40,0,0,0,0,0,0,0,0,0,0,0
17,2014,40,0,0,0,0,0,0,0,0,0,0,0
18,2015,40,0,0,0,0,0,0,0,0,0,0,0
19,2016,40,0,0,0,0,0,0,0,0,0,0,0
20,2017,40,0,0,0,0,0,0,0,0,0,0,0
21,2018,40,0,0,0,0,0,0,0,0,0,0,0
22,2019,40,0,0,0,0,0,0,0,0,0,0,0
23,2020,40,0,0,0,0,0,0,0,0,0,0,0
24,2021,40,0,0,0,0,0,0,0,0,0,0,0
25,2022,40,0,0,0,0,0,0,0,0,0,0,0
26,2023,50,0,0,0,0,0,0,0,0,0,0,0
27,2024,50,0,0,0,0,0,0,0,0,0,0,0
28,2025,50,0,0,0,0,0,0,0,0,0,0,0
29,2026,0,0,0,0,50,0,0,0,0,0,0,0
